Temperature (K)	Pressure (atm)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
4.0000	1.4083	32.933	0.030364	-0.0082188	-0.0038860	-1.2561	9.9058	16.680	197.62	-0.15264	3.4293	0.018930	liquid
4.5000	1.4083	29.994	0.033341	0.0014608	0.0062183	1.1143	10.375	25.618	168.22	0.052895	3.0561	0.018924	liquid
4.6163	1.4083	28.919	0.034580	0.0045568	0.0094912	1.8321	10.492	31.283	157.91	0.13976	2.9387	0.018818	liquid
4.6163	1.4083	6.1044	0.16382	0.057796	0.081171	17.360	12.622	49.409	100.90	1.8376	1.4317	0.010570	vapor
5.0000	1.4083	4.8107	0.20787	0.066680	0.096342	20.524	12.595	33.930	113.07	1.5305	1.4744	0.010844	vapor
5.5000	1.4083	3.9593	0.25257	0.075711	0.11175	23.466	12.512	28.595	124.56	1.2954	1.5541	0.011442	vapor
6.0000	1.4083	3.4239	0.29206	0.083725	0.12540	25.842	12.462	26.257	133.92	1.1335	1.6393	0.012089	vapor
6.5000	1.4083	3.0403	0.32892	0.091238	0.13817	27.888	12.438	24.937	142.07	1.0105	1.7252	0.012751	vapor
7.0000	1.4083	2.7461	0.36415	0.098454	0.15042	29.703	12.429	24.093	149.41	0.91221	1.8103	0.013415	vapor
7.5000	1.4083	2.5108	0.39828	0.10548	0.16231	31.344	12.430	23.511	156.17	0.83107	1.8942	0.014068	vapor
8.0000	1.4083	2.3169	0.43162	0.11236	0.17395	32.847	12.435	23.087	162.48	0.76248	1.9767	0.014703	vapor
8.5000	1.4083	2.1535	0.46435	0.11915	0.18541	34.237	12.442	22.765	168.43	0.70343	2.0576	0.015318	vapor
9.0000	1.4083	2.0136	0.49661	0.12587	0.19673	35.530	12.449	22.513	174.09	0.65187	2.1370	0.015913	vapor
9.5000	1.4083	1.8922	0.52850	0.13252	0.20793	36.742	12.456	22.311	179.49	0.60632	2.2150	0.016491	vapor
10.000	1.4083	1.7855	0.56007	0.13913	0.21905	37.882	12.463	22.145	184.68	0.56569	2.2915	0.017052	vapor
10.500	1.4083	1.6909	0.59139	0.14570	0.23008	38.959	12.469	22.008	189.68	0.52915	2.3667	0.017598	vapor
11.000	1.4083	1.6065	0.62249	0.15223	0.24106	39.980	12.474	21.891	194.52	0.49607	2.4406	0.018131	vapor
11.500	1.4083	1.5305	0.65340	0.15874	0.25198	40.951	12.478	21.792	199.20	0.46594	2.5132	0.018651	vapor
12.000	1.4083	1.4617	0.68415	0.16523	0.26285	41.877	12.482	21.706	203.75	0.43836	2.5846	0.019159	vapor
12.500	1.4083	1.3991	0.71477	0.17169	0.27369	42.761	12.486	21.631	208.18	0.41300	2.6548	0.019657	vapor
13.000	1.4083	1.3418	0.74526	0.17814	0.28448	43.608	12.488	21.566	212.50	0.38958	2.7240	0.020146	vapor
